Date,IV,RV,VRP (IV - RV)
2022-02-10,23.90999984741211,21.643769383552307,2.2662304638598023
2022-02-11,27.360000610351562,22.05856251261162,5.301438097739943
2022-02-14,28.329999923706055,22.023417226436802,6.306582697269253
2022-02-15,25.700000762939453,22.14038710183854,3.5596136611009115
2022-02-16,24.290000915527344,21.915263852201928,2.3747370633254157
2022-02-17,28.110000610351562,22.852308653190313,5.257691957161249
2022-02-18,27.75,21.987143541489395,5.762856458510605
2022-02-22,28.809999465942383,22.207200682900364,6.602798783042019
2022-02-23,31.020000457763672,22.732662062494963,8.287338395268709
2022-02-24,30.31999969482422,23.4638809821767,6.856118712647518
2022-02-25,27.59000015258789,24.733999679447553,2.8560004731403374
2022-02-28,30.149999618530273,23.148345000602585,7.001654617927688
2022-03-01,33.31999969482422,22.536264364183037,10.783735330641182
2022-03-02,30.739999771118164,23.523477382327997,7.2165223887901675
2022-03-03,30.479999542236328,23.172992870719195,7.307006671517133
2022-03-04,31.979999542236328,21.768585447315054,10.211414094921274
2022-03-07,36.45000076293945,23.781247288840113,12.66875347409934
2022-03-08,35.130001068115234,23.81989841334711,11.310102654768123
2022-03-09,32.45000076293945,25.64973839665756,6.800262366281892
2022-03-10,30.229999542236328,24.83423582566041,5.395763716575917
2022-03-11,30.75,24.493864900544622,6.256135099455378
2022-03-14,31.770000457763672,23.8420395024522,7.927960955311473
2022-03-15,29.829999923706055,25.314345813650384,4.515654110055671
2022-03-16,26.670000076293945,25.996946640715468,0.6730534355784776
2022-03-17,25.670000076293945,26.433461420322963,-0.7634613440290181
2022-03-18,23.8700008392334,25.58973792647194,-1.719737087238542
2022-03-21,23.530000686645508,25.416867653704617,-1.8868669670591096
2022-03-22,22.940000534057617,25.272413308755436,-2.3324127746978185
2022-03-23,23.56999969482422,24.67743222554669,-1.1074325307224697
2022-03-24,21.670000076293945,24.638762933004827,-2.9687628567108817
2022-03-25,20.809999465942383,23.568909616491954,-2.7589101505495712
2022-03-28,19.6299991607666,23.586305415535065,-3.9563062547684638
2022-03-29,18.899999618530273,22.847908271059367,-3.947908652529094
2022-03-30,19.329999923706055,22.403810329295567,-3.073810405589512
2022-03-31,20.559999465942383,23.178100482015747,-2.618101016073364
2022-04-01,19.6299991607666,22.887273162014456,-3.257274001247854
2022-04-04,18.56999969482422,19.470957367244285,-0.9009576724200663
2022-04-05,21.030000686645508,19.982236101073674,1.0477645855718336
2022-04-06,22.100000381469727,18.877688939912034,3.222311441557693
2022-04-07,21.549999237060547,18.723172250038257,2.82682698702229
2022-04-08,21.15999984741211,17.906005020057446,3.2539948273546635
2022-04-11,24.3700008392334,18.957415767342177,5.412585071891222
2022-04-12,24.260000228881836,17.765602347866764,6.494397881015072
2022-04-13,21.81999969482422,16.454581838758507,5.3654178560657115
2022-04-14,22.700000762939453,16.527203372192655,6.172797390746798
2022-04-18,22.170000076293945,15.928634899716224,6.241365176577721
2022-04-19,21.3700008392334,17.002342609081783,4.367658230151616
2022-04-20,20.31999969482422,16.47651619842447,3.843483496399749
2022-04-21,22.68000030517578,16.73678551760695,5.943214787568831
2022-04-22,28.209999084472656,18.393701612437514,9.816297472035142
2022-04-25,27.020000457763672,18.430718337251896,8.589282120511776
2022-04-26,33.52000045776367,20.154382438733105,13.365618019030567
2022-04-27,31.600000381469727,19.34363228264193,12.256368098827796
2022-04-28,29.989999771118164,21.98502819288266,8.004971578235505
2022-04-29,33.400001525878906,24.67005373053692,8.729947795341985
2022-05-02,32.34000015258789,24.77986456341777,7.56013558917012
2022-05-03,29.25,24.588551894283146,4.661448105716854
2022-05-04,25.420000076293945,27.174358851351755,-1.7543587750578098
2022-05-05,31.200000762939453,29.63035908375456,1.569641679184894
2022-05-06,30.190000534057617,29.47869960963511,0.7113009244225061
2022-05-09,34.75,31.113637558143292,3.6363624418567078
2022-05-10,32.9900016784668,30.95534470239343,2.034656976073368
2022-05-11,32.560001373291016,31.22448304039933,1.3355183328916844
2022-05-12,31.770000457763672,30.651443755370806,1.1185567023928655
2022-05-13,28.8700008392334,32.305620177026576,-3.4356193377931774
2022-05-16,27.469999313354492,32.26869174643177,-4.798692433077278
2022-05-17,26.100000381469727,32.638748417967825,-6.538748036498099
2022-05-18,30.959999084472656,35.110269794516356,-4.150270710043699
2022-05-19,29.350000381469727,34.96759714143066,-5.617596759960932
2022-05-20,29.43000030517578,34.016055076472576,-4.586054771296794
2022-05-23,28.479999542236328,34.81168195907848,-6.331682416842149
2022-05-24,29.450000762939453,33.62893333469291,-4.178932571753457
2022-05-25,28.3700008392334,33.87165370707966,-5.501652867846261
2022-05-26,27.5,33.40833832031323,-5.908338320313227
2022-05-27,25.719999313354492,32.155979872156216,-6.435980558801724
2022-05-31,26.190000534057617,32.17254145822542,-5.9825409241678
2022-06-01,25.690000534057617,32.210865141108094,-6.520864607050477
2022-06-02,24.719999313354492,31.039616515523537,-6.319617202169045
2022-06-03,24.790000915527344,28.805580566678447,-4.0155796511511035
2022-06-06,25.06999969482422,28.76349553445135,-3.6934958396271327
2022-06-07,24.020000457763672,26.2139112608007,-2.193910803037028
2022-06-08,23.959999084472656,26.61118159494988,-2.6511825104772235
2022-06-09,26.09000015258789,27.40416781312094,-1.3141676605330481
2022-06-10,27.75,29.479063417278596,-1.7290634172785957
2022-06-13,34.02000045776367,31.14308280134526,2.8769176564184136
2022-06-14,32.689998626708984,31.14283007088052,1.5471685558284634
2022-06-15,29.6200008392334,30.651343213668287,-1.0313423744348889
2022-06-16,32.95000076293945,29.439540410717296,3.5104603522221574
2022-06-17,31.1299991607666,29.48876373348811,1.6412354272784917
2022-06-21,30.190000534057617,31.021563294850157,-0.83156276079254
2022-06-22,28.950000762939453,30.09745897608115,-1.1474582131416966
2022-06-23,29.049999237060547,30.329129520665767,-1.2791302836052196
2022-06-24,27.229999542236328,32.18437008317462,-4.954370540938292
2022-06-27,26.950000762939453,31.25838904044884,-4.308388277509387
2022-06-28,28.360000610351562,30.26416663116552,-1.9041660208139568
2022-06-29,28.15999984741211,30.278331897054723,-2.118332049642614
2022-06-30,28.709999084472656,30.301884482334195,-1.5918853978615388
2022-07-01,26.700000762939453,29.66363015936817,-2.9636293964287184
2022-07-05,27.540000915527344,29.379064023638477,-1.8390631081111337
2022-07-06,26.729999542236328,29.39245391689485,-2.662454374658523
2022-07-07,26.079999923706055,29.76609565097664,-3.6860957272705868
2022-07-08,24.639999389648438,29.636729719083544,-4.996730329435106
2022-07-11,26.170000076293945,28.759898144285074,-2.589898067991129
2022-07-12,27.290000915527344,27.041607229184418,0.2483936863429257
2022-07-13,26.81999969482422,22.984132109230718,3.835867585593501
2022-07-14,26.399999618530273,22.965716228900217,3.434283389630057
2022-07-15,24.229999542236328,23.37844802479735,0.8515515174389776
2022-07-18,25.299999237060547,20.01826994583478,5.281729291225766
2022-07-19,24.5,21.90645382404439,2.593546175955609
2022-07-20,23.8799991607666,20.528083915353328,3.3519152454132737
2022-07-21,23.110000610351562,20.632034554810236,2.4779660555413265
2022-07-22,23.030000686645508,20.93958202067525,2.090418665970258
2022-07-25,23.360000610351562,18.14728358185475,5.212717028496812
2022-07-26,24.690000534057617,18.63153593169746,6.058464602360157
2022-07-27,23.239999771118164,19.058416957247527,4.181582813870637
